run_id,algorithm,map_file,route,start_x,start_y,goal_x,goal_y,status,path_length_planned_m,distance_traveled_m,straight_line_dist_m,path_optimality_ratio,path_smoothness_rad,planning_time_s,execution_time_s,total_time_s,completeness,avg_velocity_ms,energy_efficiency,num_recoveries
0d9aa063,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.6457,13.0384,1.0625,0.0677,0.2013,208.5013,208.5063,1,0.0654,1.0152,0
4453b2b8,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.7143,13.0384,1.0625,0.0677,0.2461,220.1606,220.165,1,0.0623,1.0101,7
592afd66,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.8339,13.0384,1.0625,0.0677,0.2187,213.3403,213.3483,1,0.0648,1.0014,1
7c9f492b,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.5865,13.0384,1.0625,0.0677,0.1994,197.0573,197.0598,1,0.0689,1.0196,0
9363a975,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,14.0124,13.0384,1.0625,0.0677,0.2008,232.5524,232.5557,1,0.0603,0.9886,10
9e9ac8cd,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.9622,13.0384,1.0625,0.0677,0.2103,214.6737,214.6822,1,0.065,0.9922,1
b8e07fb6,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.6831,13.0384,1.0625,0.0677,0.1732,227.5563,227.559,1,0.0601,1.0124,8
d9f547de,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,14.1331,13.0384,1.0625,0.0677,0.3741,266.0023,266.007,1,0.0531,0.9802,14
e0cce4b5,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.6854,13.0384,1.0625,0.0677,0.2405,224.0154,224.0207,1,0.0611,1.0123,6
ffa25523,AStar,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8533,13.5604,13.0384,1.0625,0.0677,0.2199,201.2131,201.2177,1,0.0674,1.0216,0
04ac87b7,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.3153,13.0384,1.0633,0.0696,0.0139,225.2561,225.2611,1,0.0636,0.9684,9
0c7d6777,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.0843,13.0384,1.0633,0.0696,0.0189,239.5423,239.5549,1,0.0588,0.9843,9
16f35e61,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.865,13.0384,1.0633,0.0696,0.02,248.0624,248.0664,1,0.0559,0.9999,6
2bb24307,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.9141,13.0384,1.0633,0.0696,0.0114,223.277,223.2796,1,0.0623,0.9963,5
7ff49516,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.1143,13.0384,1.0633,0.0696,0.0174,233.2936,233.2969,1,0.0605,0.9822,6
890da482,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.9973,13.0384,1.0633,0.0696,0.0181,210.1129,210.116,1,0.0666,0.9904,0
8a2d6e7d,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.4773,13.0384,1.0633,0.0696,0.7029,233.1312,233.1416,1,0.0578,1.0286,15
b9cf9fcd,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.0854,13.0384,1.0633,0.0696,0.1257,219.2661,219.2718,1,0.0642,0.9842,9
bd1e134f,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,13.5694,13.0384,1.0633,0.0696,1.0416,201.3629,201.3667,1,0.0674,1.0216,0
e53ee951,Dijkstra,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8631,14.3133,13.0384,1.0633,0.0696,0.0176,260.1089,260.1118,1,0.055,0.9685,6
34a455f5,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5434,13.6733,13.0384,1.0387,0.2114,8.3293,203.7712,212.1069,1,0.0671,0.9905,0
40d3b558,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.449,13.3062,13.0384,1.0315,0.1561,7.7609,190.4125,198.1779,1,0.0699,1.0107,0
4d03adbf,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4784,13.3266,13.0384,1.0337,0.1603,7.8621,190.3122,198.1802,1,0.07,1.0114,0
5ad3e99b,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.6556,13.2452,13.0384,1.0473,0.1657,8.0389,188.0637,196.1084,1,0.0704,1.031,0
a63d63d1,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5612,13.6845,13.0384,1.0401,0.221,8.6233,196.2686,204.8978,1,0.0697,0.991,0
b2e3b88b,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5256,13.5825,13.0384,1.0374,0.1603,9.4951,199.065,208.5708,1,0.0682,0.9958,0
c7030e96,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4254,13.2566,13.0384,1.0297,0.1837,8.263,197.8735,206.1424,1,0.067,1.0127,0
cad2902b,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.449,13.1851,13.0384,1.0315,0.1674,7.9481,185.2594,193.2127,1,0.0712,1.02,0
cb87ef7a,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5434,13.7275,13.0384,1.0387,0.2114,8.5777,195.4165,204.0001,1,0.0702,0.9866,0
f5297dae,GA,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4846,13.3138,13.0384,1.0342,0.1891,7.7849,190.5656,198.3562,1,0.0699,1.0128,0
17d24e6c,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.922,13.1504,13.0384,1.0678,0.2198,0.0082,188.3145,188.3292,1,0.0698,1.0587,0
2a70467f,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.4842,13.8604,13.0384,1.0342,0.2061,0.0075,200.3651,200.6321,1,0.0692,0.9729,0
46c215ee,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.6503,13.5792,13.0384,1.0469,0.1453,0.0058,191.9084,192.1697,1,0.0708,1.0052,0
7ca4587b,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.5848,13.2503,13.0384,1.0419,0.1795,0.0065,185.9644,185.9775,1,0.0713,1.0252,0
9c722383,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,15.0641,13.662,13.0384,1.1554,0.365,0.0071,199.3673,199.3813,1,0.0685,1.1026,0
abe63e6a,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.0792,13.7323,13.0384,1.0798,0.3046,0.2503,197.6158,197.8729,1,0.0695,1.0253,0
ac1f6267,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.2327,13.325,13.0384,1.0916,0.2171,0.0064,190.517,190.5282,1,0.0699,1.0681,0
b43d8fa3,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,13.8035,13.4824,13.0384,1.0587,0.1863,0.4913,196.9694,197.4654,1,0.0684,1.0238,0
c324b2f1,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.04,13.9089,13.0384,1.0768,0.2239,0.0095,197.3152,197.3302,1,0.0705,1.0094,0
e071ad63,RRT,cf_room2_map.yaml,"(-8.00,-1.00)→(5.00,0.00)",-8.0,-1.0,5.0,0.0,SUCCEEDED,14.4082,13.523,13.0384,1.1051,0.2757,0.0059,199.7189,199.7318,1,0.0677,1.0655,0
